City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jabor,5.921,169.6434,28.38,82,66,7.42,MH,1715596795
1,thompson,55.7435,-97.8558,-2.91,86,100,2.57,CA,1715596795
2,bikenibeu village,1.3673,173.1241,28.98,79,20,3.6,KI,1715596796
3,sanya,18.2431,109.505,30.09,70,20,3.0,CN,1715596796
4,ponta delgada,37.7333,-25.6667,20.4,77,75,4.12,PT,1715596796
5,margaret river,-33.95,115.0667,19.06,47,100,4.47,AU,1715596500
6,badger,64.8,-147.5333,7.95,77,75,1.54,US,1715596796
7,touros,-5.1989,-35.4608,27.65,76,100,4.69,BR,1715596796
8,ilulissat,69.2167,-51.1,0.01,100,100,3.6,GL,1715596796
9,adamstown,-25.066,-130.1015,20.46,67,0,3.13,PN,1715596796
10,yanchep,-31.55,115.6833,25.07,52,100,1.36,AU,1715596797
11,taoudenni,22.6783,-3.9836,41.2,6,31,6.27,ML,1715596797
12,grand falls-windsor,48.9332,-55.6649,4.72,91,100,0.45,CA,1715596797
13,west island,-12.1568,96.8225,27.99,83,75,6.69,CC,1715596797
14,elko,41.0002,-115.5012,9.8,58,2,0.89,US,1715596566
15,argo,37.6333,22.7333,25.26,34,2,3.7,GR,1715596797
16,lilongwe,-13.9669,33.7873,24.11,56,75,4.63,MW,1715596797
17,aasiaat,68.7098,-52.8699,-1.15,90,100,3.72,GL,1715596798
18,qamdo,31.1667,97.2333,14.39,25,100,4.47,CN,1715596798
19,isangel,-19.55,169.2667,23.31,87,42,4.04,VU,1715596798
20,kodiak,57.79,-152.4072,3.73,93,100,3.6,US,1715596798
21,papatowai,-46.5619,169.4708,8.27,92,93,1.53,NZ,1715596798
22,grytviken,-54.2811,-36.5092,0.45,89,100,6.05,GS,1715596798
23,waitangi,-43.9535,-176.5597,8.79,72,100,5.56,NZ,1715596799
24,invercargill,-46.4,168.35,5.01,93,37,0.45,NZ,1715596799
25,praia da vitoria,38.7333,-27.0667,19.86,94,75,5.48,PT,1715596799
26,keflavik,64.0049,-22.5624,7.95,76,40,8.23,IS,1715596799
27,blackmans bay,-43.0167,147.3167,12.07,69,78,0.45,AU,1715596799
28,ushuaia,-54.8,-68.3,3.81,75,0,14.92,AR,1715596799
29,albany,42.6001,-73.9662,7.63,83,1,0.84,US,1715596800
30,kargasok,59.0556,80.8572,20.54,36,100,9.83,RU,1715596800
31,utrik,11.2278,169.8474,27.15,82,97,9.72,MH,1715596800
32,acopiara,-6.0953,-39.4525,25.94,77,7,0.92,BR,1715596800
33,edinburgh of the seven seas,-37.0676,-12.3116,13.39,71,25,15.39,SH,1715596800
34,yellowknife,62.456,-114.3525,4.29,85,75,5.14,CA,1715596742
35,hermanus,-34.4187,19.2345,21.0,46,0,5.92,ZA,1715596801
36,ixtapa,20.7,-105.2,23.46,81,3,1.23,MX,1715596801
37,sinabang,2.4803,96.3801,28.33,80,90,1.7,ID,1715596801
38,fort st. john,56.2499,-120.8529,8.94,49,20,4.63,CA,1715596802
39,nar'yan-mar,67.6713,53.087,-1.61,86,98,5.81,RU,1715596802
40,puerto natales,-51.7236,-72.4875,-2.1,89,47,2.35,CL,1715596803
41,remire-montjoly,4.9167,-52.2667,25.02,100,100,1.03,GF,1715596804
42,port-aux-francais,-49.35,70.2167,3.38,75,100,10.76,TF,1715596804
43,reggane,26.7158,0.1714,37.95,9,0,5.89,DZ,1715596805
44,hoemul-li,41.4339,129.67,14.88,64,13,2.25,KP,1715596805
45,urangan,-25.3,152.9,20.11,70,0,3.13,AU,1715596805
46,hasaki,35.7333,140.8333,17.38,91,100,11.64,JP,1715596806
47,kununurra,-15.7667,128.7333,26.99,50,23,2.06,AU,1715596806
48,hami,42.8,93.45,36.25,6,79,4.19,CN,1715596806
49,miranda do douro,41.4969,-6.2731,19.48,60,100,6.44,PT,1715596807
50,stanley,54.868,-1.6985,18.07,74,40,3.09,GB,1715596807
51,whitehorse,60.7161,-135.0538,2.43,63,75,4.12,CA,1715596807
52,swan hill,-35.3378,143.5544,14.94,53,75,1.79,AU,1715596807
53,nova sintra,14.8667,-24.7167,24.67,79,31,5.5,CV,1715596808
54,veraval,20.9,70.3667,30.59,62,2,6.05,IN,1715596808
55,la'ie,21.6477,-157.9253,22.98,87,2,1.34,US,1715596808
56,kochubey,44.3861,46.5825,17.3,31,98,3.93,RU,1715596808
57,bandon,51.7469,-8.7425,13.77,94,100,5.78,IE,1715596808
58,burumburum,11.3911,8.7234,37.15,26,99,3.62,NG,1715596809
59,fernie,49.5,-115.0687,8.11,86,76,1.33,CA,1715596809
60,bethel,41.3712,-73.414,8.6,94,100,0.45,US,1715596809
61,tiksi,71.6872,128.8694,-7.21,85,99,1.62,RU,1715596809
62,minas de marcona,-15.2119,-75.1103,11.31,94,40,4.42,PE,1715596809
63,sandnessjoen,66.0217,12.6316,18.29,59,0,2.57,NO,1715596809
64,atafu village,-8.5421,-172.5159,29.69,74,91,6.62,TK,1715596809
65,oakdale,44.963,-92.9649,12.98,61,0,3.09,US,1715596810
66,sunland park,31.7965,-106.58,21.25,21,0,2.57,US,1715596810
67,wailua homesteads,22.0669,-159.378,23.44,88,75,4.63,US,1715596810
68,huescar,37.811,-2.5412,24.51,36,100,3.93,ES,1715596810
69,altar,30.7,-111.8167,20.12,28,0,0.58,MX,1715596810
70,freetown,8.484,-13.2299,27.84,78,75,2.57,SL,1715596810
71,wuwei,37.9281,102.6414,28.44,15,3,1.6,CN,1715596811
72,ribeira grande,38.5167,-28.7,19.22,88,75,2.57,PT,1715596811
73,bilibino,68.0546,166.4372,-5.84,94,98,1.3,RU,1715596811
74,port mathurin,-19.6833,63.4167,24.89,71,45,8.31,MU,1715596811
75,jamestown,42.097,-79.2353,12.77,94,75,3.6,US,1715596768
76,khandyga,62.6667,135.6,4.78,59,91,2.07,RU,1715596811
77,biloela,-24.4167,150.5,17.56,48,5,3.6,AU,1715596812
78,nadym,65.5333,72.5167,1.65,98,100,12.85,RU,1715596812
79,biharamulo,-2.6319,31.3089,25.43,56,59,3.16,TZ,1715596812
80,dhrangadhra,22.9833,71.4667,40.59,25,2,3.66,IN,1715596812
81,olonkinbyen,70.9221,-8.7187,0.64,95,100,2.24,SJ,1715596812
82,shizuishan,39.2333,106.7694,29.52,8,0,4.95,CN,1715596812
83,lukolela,-1.0605,17.1821,31.2,56,97,1.37,CD,1715596813
84,isafjordur,66.0755,-23.124,3.02,70,75,6.69,IS,1715596813
85,beyneu,45.3167,55.2,20.12,47,94,7.58,KZ,1715596813
86,lihue,21.9789,-159.3672,23.77,85,75,4.63,US,1715596599
87,crane,31.3974,-102.3501,19.7,24,0,3.48,US,1715596813
88,samdrup jongkhar,26.9167,91.6167,24.18,53,90,0.98,BT,1715596813
89,okhotsk,59.3833,143.3,-0.11,92,100,2.91,RU,1715596813
90,naze,28.3667,129.4833,20.51,72,100,4.02,JP,1715596814
91,longyearbyen,78.2186,15.6401,-0.09,69,75,3.6,SJ,1715596814
92,ghat,24.9647,10.1728,34.71,12,94,4.74,LY,1715596814
93,mindif,10.3976,14.4363,39.22,25,100,1.41,CM,1715596814
94,monte di procida,40.7981,14.0502,24.26,56,80,2.39,IT,1715596814
95,newman,37.3138,-121.0208,16.83,70,0,0.45,US,1715596814
96,iskateley,67.6803,53.1512,-1.66,86,99,5.81,RU,1715596815
97,parabel',58.6978,81.4825,22.73,32,100,9.39,RU,1715596815
98,makoko,6.4959,3.3919,31.18,74,20,4.12,NG,1715596815
99,santa ana,33.7456,-117.8678,16.55,88,100,2.06,US,1715596785
100,port elizabeth,-33.918,25.5701,22.83,81,20,3.09,ZA,1715596815
101,mushie,-3.0167,16.9,34.53,45,99,1.03,CD,1715596815
102,salinas,36.6777,-121.6555,13.24,91,100,3.6,US,1715596660
103,itaituba,-4.2761,-55.9836,24.26,98,88,0.89,BR,1715596816
104,coahuayana de hidalgo,18.7,-103.6583,21.54,59,3,0.73,MX,1715596816
105,caleta de carquin,-11.0925,-77.6267,18.28,91,79,2.65,PE,1715596816
106,conde,-7.2597,-34.9075,24.7,94,20,2.57,BR,1715596816
107,necochea,-38.5473,-58.7368,6.56,84,58,3.68,AR,1715596816
108,dogubayazit,39.5469,44.0842,17.87,29,72,7.14,TR,1715596817
109,nabire,-3.3667,135.4833,26.46,91,100,1.26,ID,1715596817
110,tual,-5.6667,132.75,27.77,81,100,2.07,ID,1715596817
111,the bottom,17.6259,-63.2492,26.07,75,32,6.29,BQ,1715596817
112,aykhal,66.0,111.5,-0.99,84,83,2.67,RU,1715596818
113,puerto ayora,-0.7393,-90.3518,22.53,100,96,0.89,EC,1715596818
114,cascais,38.6979,-9.4215,20.9,76,75,14.75,PT,1715596818
115,portland,45.5234,-122.6762,13.33,83,20,2.06,US,1715596263
116,kirensk,57.7853,108.1119,11.09,27,76,5.81,RU,1715596819
117,ankang,32.68,109.0172,26.15,58,0,1.61,CN,1715596819
118,tazovsky,67.4667,78.7,0.57,93,93,5.56,RU,1715596819
119,pangody,65.85,74.4859,0.78,97,98,6.48,RU,1715596820
120,derinkuyu,38.3751,34.7342,13.31,44,67,4.53,TR,1715596820
121,igarka,67.4667,86.5833,3.9,100,100,8.94,RU,1715596820
122,dunda,-8.1167,34.25,28.88,35,50,2.25,TZ,1715596820
123,ilave,-16.0833,-69.6667,1.64,93,15,0.28,PE,1715596821
124,soio,-6.1349,12.3689,29.81,71,92,3.91,AO,1715596821
125,ghadamis,30.1337,9.5007,33.37,12,15,2.87,LY,1715596821
126,zuera,41.8677,-0.7898,26.71,42,85,4.63,ES,1715596821
127,faro,37.0194,-7.9322,23.88,46,0,4.12,PT,1715596822
128,bramming,55.4695,8.7001,20.36,42,20,8.75,DK,1715596822
129,ponteland,55.0502,-1.7453,19.11,71,40,3.09,GB,1715596822
130,port lincoln,-34.7333,135.8667,14.74,91,100,3.25,AU,1715596822
131,castillos,-34.1667,-53.8333,10.83,87,100,5.37,UY,1715596822
132,flin flon,54.7682,-101.865,0.54,79,33,3.12,CA,1715596822
133,college,64.8569,-147.8028,7.99,75,75,1.54,US,1715596823
134,pisco,-13.7,-76.2167,16.03,88,4,1.03,PE,1715596823
135,petropavlovsk-kamchatsky,53.0452,158.6483,3.76,66,100,3.0,RU,1715596823
136,afaahiti,-17.75,-149.2833,25.93,80,42,7.79,PF,1715596824
137,tangalle,6.024,80.7911,31.09,71,100,3.42,LK,1715596824
138,umba,66.6871,34.3429,1.29,100,100,1.95,RU,1715596824
139,tura,25.5198,90.2201,28.86,57,100,1.45,IN,1715596824
140,al kharijah,25.4514,30.5464,31.8,17,1,6.49,EG,1715596825
141,romny,50.751,33.4747,9.11,57,86,4.04,UA,1715596825
142,oyama,36.3,139.8,16.49,88,100,3.38,JP,1715596825
143,ma'an,26.9775,110.7211,23.05,62,1,2.07,CN,1715596825
144,magadan,59.5667,150.8,3.63,95,100,6.84,RU,1715596825
145,northam,51.0333,-4.2167,14.78,94,100,9.59,GB,1715596825
146,vorgashor,67.5833,63.95,-5.11,85,100,5.14,RU,1715596826
147,decorah,43.3033,-91.7857,14.51,94,100,0.0,US,1715596826
148,tolanaro,-25.0319,46.9987,27.04,74,20,8.23,MG,1715596826
149,askiz,53.1319,90.5264,19.1,44,0,4.7,RU,1715596826
150,esil,51.9556,66.4042,26.46,31,91,11.69,KZ,1715596826
151,illizi,26.4833,8.4667,34.89,10,65,4.71,DZ,1715596826
152,fort bragg,35.139,-79.006,13.23,89,0,1.54,US,1715596826
153,vrangel',42.7297,133.0839,9.37,67,22,1.12,RU,1715596827
154,minab,27.1467,57.0801,35.84,22,0,5.42,IR,1715596827
155,souillac,-20.5167,57.5167,27.97,74,40,5.14,MU,1715596827
156,nizhniy kuranakh,58.8353,125.4869,2.29,90,99,1.78,RU,1715596827
157,saint-francois,46.4154,3.9054,20.93,73,75,2.06,FR,1715596827
158,mikuni,36.2171,136.1519,13.95,74,100,4.72,JP,1715596827
159,jimma,7.6667,36.8333,25.26,59,98,1.42,ET,1715596828
160,saint-philippe,-21.3585,55.7679,27.77,75,35,5.72,RE,1715596828
161,qaqortoq,60.7167,-46.0333,3.09,70,56,0.5,GL,1715596828
162,siniscola,40.5719,9.6922,23.75,47,88,4.8,IT,1715596828
163,kardla,58.9978,22.7492,14.49,52,86,2.18,EE,1715596828
164,akureyri,65.6835,-18.0878,2.96,87,100,3.6,IS,1715596829
165,pandan,14.0453,124.1694,28.22,79,13,2.6,PH,1715596829
166,codajas,-3.8367,-62.0569,22.84,99,100,0.94,BR,1715596829
167,ashkasham,36.6833,71.5333,11.73,13,9,1.18,AF,1715596829
168,macuspana,17.7667,-92.6,31.09,59,100,0.97,MX,1715596829
169,san patricio,28.017,-97.5169,27.69,94,99,5.18,US,1715596829
170,ceres,37.5949,-120.9577,16.7,61,0,2.06,US,1715596830
171,san fernando,15.0286,120.6898,33.85,63,84,2.25,PH,1715596830
172,holmsund,63.706,20.3641,19.97,45,0,4.63,SE,1715596830
173,chonchi,-42.6128,-73.8092,1.18,95,62,0.66,CL,1715596830
174,shingu,33.7333,135.9833,14.92,91,100,2.48,JP,1715596830
175,eraan,9.0629,117.7016,27.53,86,100,0.93,PH,1715596830
176,tofol,5.3248,163.0078,28.56,80,100,6.12,FM,1715596831
177,kenai,60.5544,-151.2583,3.97,94,100,0.0,US,1715596831
178,talnakh,69.4865,88.3972,1.11,95,100,3.99,RU,1715596831
179,ugoofaaru,5.6667,73.0,29.68,73,100,3.9,MV,1715596831
180,port kembla,-34.4667,150.9,16.86,89,0,2.91,AU,1715596831
181,grimstad,58.3405,8.5934,16.8,62,57,5.37,NO,1715596831
182,teknaf,20.8624,92.3058,30.12,66,0,5.42,BD,1715596832
183,haiku-pauwela,20.9219,-156.3051,22.8,79,0,2.57,US,1715596832
184,karratha,-20.7377,116.8463,25.32,61,0,2.66,AU,1715596832
185,mooirivier,-29.2082,29.9946,19.39,50,81,2.37,ZA,1715596832
186,montgomery,39.1501,-77.1997,12.53,95,100,0.0,US,1715596832
187,lodja,-3.4833,23.4333,34.85,39,64,2.04,CD,1715596832
188,comrat,46.3003,28.6572,13.35,42,44,5.43,MD,1715596832
189,ancud,-41.8697,-73.8203,4.1,86,91,3.52,CL,1715596833
190,vorkuta,67.5,64.0,-4.94,85,100,5.36,RU,1715596609
191,urengoy,65.9667,78.3667,0.75,91,92,9.59,RU,1715596833
192,enewetak,11.3474,162.3373,27.27,80,18,9.93,MH,1715596833
193,iqaluit,63.7506,-68.5145,-13.15,65,20,8.75,CA,1715596833
194,djibouti,11.5,42.5,34.32,42,49,6.23,DJ,1715596833
195,uturoa,-16.7333,-151.4333,27.52,81,15,8.01,PF,1715596833
196,beroroha,-21.6667,45.1667,34.5,27,0,0.65,MG,1715596834
197,udachny,66.4167,112.4,-0.31,71,79,1.27,RU,1715596834
198,lichtenburg,-26.152,26.1597,24.6,27,0,3.16,ZA,1715596834
199,al bardiyah,31.7561,25.0865,22.19,45,0,6.66,LY,1715596834
200,gofitskoye,45.0792,43.0464,12.81,56,96,4.31,RU,1715596834
201,punta arenas,-53.15,-70.9167,2.06,69,0,9.77,CL,1715596834
202,saipan,15.1355,145.701,29.39,70,40,5.66,MP,1715596835
203,kavieng,-2.5744,150.7967,28.36,80,100,5.03,PG,1715596835
204,melfi,40.9965,15.6514,25.27,36,100,2.34,IT,1715596835
205,colonia,50.9333,6.95,25.25,57,0,3.09,DE,1715596777
206,floro,61.5996,5.0328,22.35,45,0,4.63,NO,1715596835
207,mukalla,14.5425,49.1242,30.16,63,92,3.5,YE,1715596835
208,coquimbo,-29.9533,-71.3436,8.85,87,0,1.54,CL,1715596836
209,gulnar,36.3415,33.3992,18.99,29,9,2.91,TR,1715596836
210,vila velha,-20.3297,-40.2925,23.97,94,20,2.57,BR,1715596836
211,port saint john's,-31.6229,29.5448,21.47,71,89,2.33,ZA,1715596836
212,ghormach,35.7306,63.7826,33.06,13,17,1.38,AF,1715596836
213,vilalba,43.3,-7.6833,14.39,99,100,3.11,ES,1715596836
214,georgetown,5.4112,100.3354,32.97,55,20,2.57,MY,1715596727
215,shushtar,32.0455,48.8567,34.63,22,100,4.98,IR,1715596837
216,avarua,-21.2078,-159.775,24.03,88,75,2.57,CK,1715596837
